High,Low,Close,Adx
318.600006,308.700012,318.600006,0
319.559998,313.299988,315.839996,0
316.380005,312.75,316.149994,0
315.660004,308.730011,310.570007,0
310.290009,306.350006,307.779999,0
309.380005,304.920013,305.820007,0
307.48999,305.089996,305.98999,0
308.339996,304.709991,306.390015,0
311.910004,305.459991,311.450012,0
318.910004,310.820007,312.329987,0
316.359985,308.399994,309.290009,0
306.959991,299.450012,301.910004,0
302.470001,297.76001,300,0
301.480011,297.149994,300.029999,0
304.190002,297,302,0
308.540009,304.160004,307.820007,0
306.5,297.640015,302.690002,0
306.570007,300.929993,306.48999,0
308.579987,304.649994,305.549988,0
307.459991,303.26001,303.429993,0
309.380005,305.23999,309.059998,0
309.040009,305.619995,308.899994,0
312.390015,307.380005,309.910004,0
316.890015,311.25,314.549988,0
314.230011,310,312.899994,0
320.160004,313.380005,318.690002,0
320.5,314.75,315.529999,0
316.799988,313.339996,316.350006,12.28
320.570007,316.600006,320.369995,13.01
321.320007,317.720001,318.929993,12.82
318.420013,315.790009,317.640015,11.35
